Name,Taxid,protein_count,AssemblyID,Length,Mass,SASAmiller,NetCh,NCD,fFatty,fPos,fNeg,I,L,V,A,G,P,F,M,W,Y,H,T,S,N,Q,D,E,K,R,C,X,U,SeqNum,NCD1000,MWkDa,fCharged,kingdom,phylum,class,order,family,genus,species,GC
UP000008553,73239,7741,GCA_000003085,436.3949102183181,51021.97922748999,15600.353940393066,4.936183955561297,0.0004300298464113,0.2810999871997944,0.1395957027751741,0.1150803853265567,0.101177079751198,0.0850486957991176,0.0396713797791807,0.0272063246872538,0.0337645693631976,0.0242265698497625,0.0552028318702978,0.0249970715003254,0.0065143804529545,0.0567108281866249,0.0211566354721252,0.043462319708094,0.0687482342914369,0.1100712060856954,0.0272364461467573,0.0523963812184485,0.0626840041081082,0.1104766381050547,0.0291190646701193,0.019409298499536,0.0007200404547105,0.0,7741,0.4300298464113,51.021979227489986,0.2546760881017308,Eukaryota,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium,Plasmodium yoelii,24.7
UP000008549,6238,21751,GCA_000004555,399.10500666636017,45100.943009516806,14762.314982458072,-1.3536389131534183,3.728590934808886e-05,0.2559388809355095,0.120481969898056,0.1164345496907833,0.0609517700334215,0.0849685200530864,0.0603617861977343,0.0611339854629545,0.0541040413032147,0.0499759102106962,0.0496568046512672,0.0285566971902164,0.0115380142572651,0.0320482627918325,0.0226624212095389,0.0564239741968713,0.0800081728242415,0.0483619214985216,0.0404052783955101,0.050375032793276,0.0660595168975072,0.0661570146319967,0.0543249552660592,0.0209205147575777,0.0010054053772101,0.0,21751,0.03728590934808886,45.100943009516804,0.2369165195888393,Eukaryota,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis briggsae,37.6868
UP000001449,35128,11718,GCA_000149405,497.015616999488,54795.98894009217,17255.3778532043,-10.655913978494624,-0.0004988271694683,0.2357066871605679,0.108907334074679,0.1269035013295765,0.048541039022064,0.085440057048278,0.0655622445445041,0.0772733837507671,0.0706254797304235,0.0463702325515031,0.0361633465457218,0.0261065276683824,0.0116817900000165,0.0278211168289633,0.0231076129136169,0.0592855423204586,0.0884008234680868,0.0443149455562999,0.0368018091592529,0.0616429428339814,0.065260558495595,0.0554655276380182,0.0534418064366607,0.0166932134874049,0.0,0.0,11718,-0.4988271694683,54.795988940092165,0.23581083540425551,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana,46.905
UP000018467,7994,39383,GCA_000372685,558.751923418734,62400.21818551152,18902.454055342445,-3.3274509306045754,-4.953503711833829e-05,0.2455650204802059,0.114507750432928,0.114676803995093,0.045771633328064,0.0959177041064665,0.065048231286152,0.0649215896015725,0.0623156526426626,0.054646570405124,0.0388274517595232,0.0240061556298635,0.0125284245367937,0.0295710178742239,0.0264665718259179,0.0563486095490628,0.0852475219735564,0.0385108794183839,0.0454587110358567,0.0489116708825943,0.0657651331124987,0.0578710012103379,0.0566367492225901,0.0252149590895771,1.3761509177394793e-05,0.0,39383,-0.04953503711833829,62.40021818551152,0.229184554428021,Eukaryota,Chordata,Actinopteri,Characiformes,Characidae,Astyanax,Astyanax mexicanus,38.409
UP000005239,54126,25205,,451.5817893275144,50564.510386828006,15658.848440520696,-1.301329101368776,5.000740676751738e-05,0.2509512683133198,0.1201791484020929,0.1162293033396819,0.0576083083471258,0.0879885199230999,0.0626701219626536,0.0732036640045433,0.0592387138850983,0.0519562104467023,0.0426843180804403,0.0284105396128672,0.0119503979286459,0.0288698543826285,0.0240233902636736,0.0574214088358271,0.0822083060128838,0.0399131564444275,0.0332272001654784,0.0516466812734178,0.064582622066264,0.0559796086440186,0.0641995397580742,0.0222174379621288,0.0,0.0,25205,0.05000740676751738,50.564510386828005,0.2364084517417748,Eukaryota,Nematoda,Chromadorea,Rhabditida,Neodiplogasteridae,Pristionchus,Pristionchus pacificus,
UP000008820,7159,21509,GCA_000004015,671.8184015993305,75051.0140824771,21283.760058400683,-5.203077781393835,-0.0001226188014522,0.2414450853092527,0.1145400848782442,0.117827155362663,0.0541062020385821,0.0867433562134142,0.0621030555647367,0.0674677379724158,0.0601652393719539,0.0523817823773162,0.0384924714925195,0.0247610890401597,0.0103644451015471,0.0322129984824367,0.0265777202642906,0.0569394618794819,0.0814274634838595,0.0490025069631629,0.0452242079088363,0.0539700593795977,0.0638570959830652,0.0612386684201971,0.053301416458047,0.0196462931019322,1.6728502446706518e-05,0.0,21509,-0.1226188014522,75.0510140824771,0.2323672402409072,Eukaryota,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes aegypti,38.7998
UP000001819,46245,23066,GCF_009870125,777.1823896644412,86210.28131015347,23097.68512268392,-7.735975028180005,-0.0001014376603137,0.2337506023193294,0.1114889412558352,0.1129430441528289,0.049289281987841,0.089804131967198,0.058857263752297,0.0768069306952034,0.0632781884773636,0.0547613358358899,0.0357999246119933,0.024996629817189,0.0103616219702496,0.0307953666145058,0.026771405189129,0.056990087570856,0.0805627908072937,0.0455749625296678,0.0512114829238919,0.0509997693203323,0.0619432748324966,0.0554389168760924,0.0560500243797427,0.019687811241588,1.810242002879e-05,6.961791492889e-07,23066,-0.1014376603137,86.21028131015348,0.2244319854086641,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila pseudoobscura,
UP000077755,79200,31771,GCA_001625215,396.6942809480344,44262.28310408864,14729.079761648452,-2.1877498347549653,-6.840456046923477e-05,0.2540262873134504,0.1154414269304773,0.117007476461278,0.0536498003739126,0.0921481414938604,0.0666696349543288,0.0675195354704215,0.0650506711020902,0.0491146680730553,0.0415587104913484,0.0265416242595509,0.0123287493267977,0.0293326974673618,0.0236432696006634,0.0503966034798187,0.0877551453525807,0.0459159672824858,0.0364967613382741,0.0536638570989313,0.0633436193623466,0.0635269186600336,0.0519145082704437,0.0193742772523586,5.483928933506327e-05,0.0,31771,-0.06840456046923478,44.26228310408864,0.2324489033917553,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota,36.0427
UP000005226,31033,51078,GCA_000180615,633.8911077176084,70816.54522690787,20909.0541223272,-4.21320333607424,-0.0001054433685477,0.2494907890335222,0.1129539239062213,0.1154706253151835,0.0466018458584059,0.0976889668519569,0.0653440572110598,0.0660552184259885,0.0638297889349036,0.0543358979947435,0.0398559191120995,0.0248473614305599,0.0125793296405641,0.029140527650595,0.0267497843739164,0.0550016914941892,0.082336985895503,0.0385068446817844,0.0447460019633624,0.0509149258625135,0.06455569945267,0.0560746703962898,0.0568792535099314,0.0239545743816511,6.548773113768046e-07,0.0,51078,-0.10544336854769999,70.81654522690786,0.22842454922140482,Eukaryota,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Takifugu,Takifugu rubripes,45.8415
UP000001595,9601,22878,,502.0897368651106,55980.79510883819,17299.72185223527,-2.0473380540257016,3.578041705838804e-05,0.2425799333351455,0.1163166807873726,0.1122790234877154,0.0437150601279105,0.1005685435423665,0.0599566263315728,0.0712107123346995,0.066981929487681,0.0619266001296459,0.0383397033332955,0.0228090878016538,0.0134976861315367,0.0273523301979558,0.026667685351153,0.0519885357033868,0.0805012540328178,0.0346182343596745,0.045879816929343,0.0452401721541142,0.0670388513336012,0.0578452326395832,0.0584714481477894,0.0250378867695288,0.0003504937153934,2.109445295765348e-06,22878,0.03578041705838804,55.98079510883819,0.22859570427508802,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Pongo,Pongo abelii,
